Full Set Performance,,,
,Python Implementation,C++ Implementation,Replace Python With C++
Download (powerline adapter),18842.05702,16727.1,
"Download (wifi, averaged)",20600.82479,19806.65,
Unpack,1374.56424236298,915.011,
Store,122.585897445679,11.3736,
Feature Calculation,3441.9971511364,5988.43,
Label,0.053811311721802,0.044466,
Train,10.5402135848999,190.77,
Accuracy,98.4738955823293,98.1816,
,,,
,,,
,,,
Subset Performance,,,
,Python Implementation,C++ Implementation,Replace Python With C++
Download (powerline adapter),,,
"Download (wifi, unit104, 5:10PM)",0.001062631607056,4.32503,4.64621424674988
Unpack,2.69374132156372,0.691309,0.741173267364502
Store,0.077462673187256,0.0489175,0.056475877761841
Feature Calculation,4.32816600799561,1.83403,2.3128604888916
Label,,,
Train,0.025923728942871,0.0411453,0.051859140396118
Accuracy,1,0.714286,0.714286
,,,
,,,
,,,
,,,
,,,
,10.7781087294857,1.58353704067575,
,0.574774548777626,2.35992105254309,
,1.21016758246305,#DIV/0!,
,0.055250896812391,0.630053224617905,
